appid,name,release_date,required_age,price,header_image,windows,mac,linux,recommendations,publishers,positive,negative,peak_ccu,pct_pos_total,num_reviews_total,tags_sep,publisher
2358720,Black Myth: Wukong,2024-08-19,13.0,59.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2358720/header.jpg?t=1739542141,True,False,False,825294,['Game Science'],1098373,37811,35990,96.0,825621.0,"['Mythology', 'Action RPG', 'Action', 'Souls-like', 'RPG', 'Combat', 'Story Rich', 'Singleplayer', 'Action-Adventure', 'Drama', 'Dark Fantasy', 'Atmospheric', 'Adventure', '3D', 'Fantasy', 'Hack and Slash', 'Third Person', 'Difficult', 'Music', 'Violent']",Game Science
553850,HELLDIVERS™ 2,2024-02-08,17.0,39.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/553850/header.jpg?t=1741137570,True,False,False,716326,['PlayStation Publishing LLC'],743292,234931,48290,76.0,716489.0,"['Online Co-Op', 'PvE', 'Third-Person Shooter', 'Multiplayer', 'Action', 'Shooter', 'Co-op', 'Sci-fi', 'Capitalism', 'Space', 'Extraction Shooter', 'Third Person', 'Comedy', 'Gore', 'Violent', 'Great Soundtrack', 'Difficult', 'Psychological Horror', 'Singleplayer', 'Open World']",PlayStation Publishing LLC
239140,Dying Light,2025-01-27,17.0,19.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/239140/header.jpg?t=1738004178,True,True,True,336797,['Techland'],428753,21594,6198,95.0,332069.0,"['Zombies', 'Survival Horror', 'Horror', 'Online Co-Op', 'Open World', 'Parkour', 'First-Person', 'Survival', 'Open World Survival Craft', 'Gore', 'FPS', 'Action', 'PvE', 'Stealth', 'PvP', 'Post-apocalyptic', 'Multiplayer', 'Story Rich', 'Action RPG', 'Hack and Slash']",Techland
1623730,Palworld,2024-01-18,0.0,22.49,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/header.jpg?t=1737094038,True,False,False,314601,['Pocketpair'],350225,21784,33835,94.0,314689.0,"['Open World', 'Survival', 'Creature Collector', 'Multiplayer', 'Open World Survival Craft', 'Crafting', 'Co-op', 'Adventure', 'Sandbox', 'Third-Person Shooter', 'Automation', 'Action', 'RPG', 'Early Access', 'Anime', 'PvE', '3D', 'Indie', 'Looter Shooter', 'Hack and Slash']",Pocketpair
251570,7 Days to Die,2024-07-25,0.0,29.24,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/251570/header.jpg?t=1736194886,True,True,True,248708,['The Fun Pimps Entertainment LLC'],322283,41459,25426,88.0,249049.0,"['Survival', 'Zombies', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Base-Building', 'Voxel', 'Post-apocalyptic', 'Online Co-Op', 'Building', 'Exploration', 'Sandbox', 'FPS', 'Simulation', 'Character Customization', 'Tower Defense', 'Action', 'Strategy', 'Horror', 'Procedural Generation']",The Fun Pimps Entertainment LLC
1326470,Sons Of The Forest,2024-02-22,0.0,29.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1326470/header.jpg?t=1708624856,True,False,False,215190,['Newnight'],212182,30041,6723,87.0,215221.0,"['Survival', 'Open World', 'Multiplayer', 'Co-op', 'Survival Horror', 'Base-Building', 'Horror', 'Crafting', 'First-Person', 'Building', 'Exploration', 'Adventure', 'Singleplayer', 'Atmospheric', 'Sandbox', 'Action-Adventure', 'Action', 'Simulation', 'Immersive Sim', 'Early Access']",Newnight
526870,Satisfactory,2024-09-10,0.0,39.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/526870/header.jpg?t=1737364583,True,False,False,189253,['Coffee Stain Publishing'],217300,6461,15097,97.0,189516.0,"['Base-Building', 'Automation', 'Open World', 'Multiplayer', 'Crafting', 'Co-op', 'Resource Management', 'Building', 'Sandbox', 'Exploration', 'Adventure', 'Open World Survival Craft', 'Survival', 'Simulation', 'First-Person', 'Strategy', 'Sci-fi', 'Singleplayer', 'Early Access', 'Indie']",Coffee Stain Publishing
2183900,"Warhammer 40,000: Space Marine 2",2024-09-09,0.0,38.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2183900/header_alt_assets_4.jpg?t=1741257806,True,False,False,112107,['Focus Entertainment'],127245,26436,10334,83.0,112230.0,"['Warhammer 40K', 'Action', 'Third-Person Shooter', 'Multiplayer', 'Co-op', 'PvE', 'Adventure', 'Action-Adventure', 'Third Person', 'Sci-fi', 'Wargame', '3D', 'War', 'Fantasy', 'Space', 'Narration', 'Singleplayer', 'Realistic', 'Cinematic', 'Futuristic']",Focus Entertainment
2379780,Balatro,2024-02-20,0.0,14.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2379780/header.jpg?t=1740416199,True,True,False,107768,['Playstack'],131361,2538,24326,98.0,108031.0,"['Card Game', 'Roguelike Deckbuilder', 'Rogue-like', 'Deckbuilding', 'Singleplayer', 'Strategy', 'Pixel Graphics', 'Replay Value', 'Turn-Based', 'Card Battler', 'Rogue-lite', 'Casual', 'Choices Matter', 'Difficult', 'Turn-Based Strategy', '2D', 'Relaxing', 'Arcade', 'Procedural Generation', 'Indie']",Playstack
2694490,Path of Exile 2,2024-12-06,0.0,29.99,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2694490/header.jpg?t=1736126604,True,False,False,104430,['Grinding Gear Games'],109452,27055,52708,81.0,104800.0,"['Action RPG', 'Hack and Slash', 'RPG', 'Loot', 'Action', 'Souls-like', 'Dark Fantasy', 'MMORPG', 'Isometric', 'Dungeon Crawler', 'Adventure', 'Multiplayer', 'Online Co-Op', 'Crafting', 'Character Customization', 'Free to Play', 'Inventory Management', 'Horror', 'Early Access', 'Dark']",Grinding Gear Games
